line_idx,text,,,,
686,Shall sleep no more. Macbeth shall sleep no more.,,,,
687,"Who was it that thus cried? Why, worthy thane,",,,,
688,You do unbend your noble strength to think,,,,
689,So brainsickly of things. Go get some water,,,,
690,And wash this filthy witness from your hand.—,,,,
691,Why did you bring these daggers from the place?,,,,
692,"They must lie there. Go, carry them and smear",,,,
693,The sleepy grooms with blood.,,,,
694,I’ll go no more.,,,,
695,I am afraid to think what I have done.,,,,
696,Look on ’t again I dare not.,,,,
697,Infirm of purpose!,,,,
698,Give me the daggers. The sleeping and the dead,,,,
699,Are but as pictures. ’Tis the eye of childhood,,,,
700,"That fears a painted devil. If he do bleed,",,,,
701,"I’ll gild the faces of the grooms withal,",,,,
702,For it must seem their guilt.,,,,
703,Whence is that,,,,
704,knocking?,,,,
705,How is ’t with me when every noise appalls me?,,,,
706,"What hands are here! Ha, they pluck out mine eyes.",,,,
707,Will all great Neptune’s ocean wash this blood,,,,
708,"Clean from my hand? No, this my hand will rather",,,,
709,"The multitudinous seas incarnadine,",,,,
710,Making the green one red.,,,,
711,"My hands are of your color, but I shame",,,,
712,To wear a heart so white.,,,,
713,I hear a knocking,,,,
714,At the south entry. Retire we to our chamber.,,,,
715,A little water clears us of this deed.,,,,
716,"How easy is it, then! Your constancy",,,,
717,Hath left you unattended.,,,,
718,"Hark, more knocking.",,,,
719,"Get on your nightgown, lest occasion call us",,,,
720,And show us to be watchers. Be not lost,,,,
721,So poorly in your thoughts.,,,,
722,To know my deed ’twere best not know myself.,,,,
723,Wake Duncan with thy knocking. I would thou,,,,
724,couldst.,,,,
725,Here’s a knocking indeed! If a man were,,,,
726,"porter of hell gate, he should have old turning the",,,,
727,"key. Knock, knock, knock! Who’s there, i’",,,,
728,th’ name of Beelzebub? Here’s a farmer that hanged,,,,
729,himself on th’ expectation of plenty. Come in time!,,,,
730,Have napkins enough about you; here you’ll sweat,,,,
731,"for ’t. Knock, knock! Who’s there, in th’",,,,
732,"other devil’s name? Faith, here’s an equivocator",,,,
733,that could swear in both the scales against either,,,,
734,"scale, who committed treason enough for God’s",,,,
735,"sake yet could not equivocate to heaven. O, come in,",,,,
736,"equivocator. Knock, knock, knock! Who’s",,,,
737,"there? Faith, here’s an English tailor come hither for",,,,
738,"stealing out of a French hose. Come in, tailor. Here",,,,
739,"you may roast your goose. Knock, knock!",,,,
740,Never at quiet.—What are you?—But this place is,,,,
741,too cold for hell. I’ll devil-porter it no further. I had,,,,
742,thought to have let in some of all professions that go,,,,
743,the primrose way to th’ everlasting bonfire.,,,,
744,"Anon, anon!",,,,
745,"I pray you, remember the porter.",,,,
746,"Was it so late, friend, ere you went to bed",,,,
747,That you do lie so late?,,,,
748,"Faith, sir, we were carousing till the second",,,,
749,"cock, and drink, sir, is a great provoker of three",,,,
750,things.,,,,
751,What three things does drink especially,,,,
752,provoke?,,,,
753,"Marry, sir, nose-painting, sleep, and urine.",,,,
754,"Lechery, sir, it provokes and unprovokes. It provokes",,,,
755,"the desire, but it takes away the performance.",,,,
756,Therefore much drink may be said to be an,,,,
757,"equivocator with lechery. It makes him, and it",,,,
758,"mars him; it sets him on, and it takes him off; it",,,,
759,persuades him and disheartens him; makes him,,,,
760,"stand to and not stand to; in conclusion, equivocates",,,,
761,"him in a sleep and, giving him the lie, leaves",,,,
762,him.,,,,
763,I believe drink gave thee the lie last night.,,,,
764,"That it did, sir, i’ th’ very throat on me; but I",,,,
765,"requited him for his lie, and, I think, being too",,,,
766,"strong for him, though he took up my legs sometime,",,,,
767,yet I made a shift to cast him.,,,,
768,Is thy master stirring?,,,,
769,Our knocking has awaked him. Here he comes.,,,,
770,"Good morrow, noble sir.",,,,
771,"Good morrow, both.",,,,
772,"Is the King stirring, worthy thane?",,,,
773,Not yet.,,,,
774,He did command me to call timely on him.,,,,
775,I have almost slipped the hour.,,,,
776,I’ll bring you to him.,,,,
777,"I know this is a joyful trouble to you,",,,,
778,But yet ’tis one.,,,,
779,The labor we delight in physics pain.,,,,
780,This is the door.,,,,
781,"I’ll make so bold to call,",,,,
782,For ’tis my limited service.,,,,
783,Goes the King hence today?,,,,
784,He does. He did appoint so.,,,,
785,"The night has been unruly. Where we lay,",,,,
786,"Our chimneys were blown down and, as they say,",,,,
787,"Lamentings heard i’ th’ air, strange screams of",,,,
788,"death,",,,,
789,"And prophesying, with accents terrible,",,,,
790,Of dire combustion and confused events,,,,
791,New hatched to th’ woeful time. The obscure bird,,,,
792,Clamored the livelong night. Some say the Earth,,,,
793,Was feverous and did shake.,,,,
794,’Twas a rough night.,,,,
795,My young remembrance cannot parallel,,,,
796,A fellow to it.,,,,
797,"O horror, horror, horror!",,,,
798,Tongue nor heart cannot conceive nor name thee!,,,,
799,What’s the matter?,,,,
800,Confusion now hath made his masterpiece.,,,,
801,Most sacrilegious murder hath broke ope,,,,
802,The Lord’s anointed temple and stole thence,,,,
803,The life o’ th’ building.,,,,
804,What is ’t you say? The life?,,,,
805,Mean you his Majesty?,,,,
806,Approach the chamber and destroy your sight,,,,
807,With a new Gorgon. Do not bid me speak.,,,,
808,See and then speak yourselves.,,,,
809,"Awake, awake!",,,,
810,Ring the alarum bell.—Murder and treason!,,,,
811,"Banquo and Donalbain, Malcolm, awake!",,,,
812,"Shake off this downy sleep, death’s counterfeit,",,,,
813,"And look on death itself. Up, up, and see",,,,
814,"The great doom’s image. Malcolm, Banquo,",,,,
815,As from your graves rise up and walk like sprites,,,,
816,To countenance this horror.—Ring the bell.,,,,
817,"What’s the business,",,,,
818,That such a hideous trumpet calls to parley,,,,
819,"The sleepers of the house? Speak, speak!",,,,
820,"O gentle lady,",,,,
821,’Tis not for you to hear what I can speak.,,,,
822,The repetition in a woman’s ear,,,,
823,Would murder as it fell.,,,,
824,"O Banquo, Banquo,",,,,
825,Our royal master’s murdered.,,,,
826,"Woe, alas!",,,,
827,"What, in our house?",,,,
828,Too cruel anywhere.—,,,,
829,"Dear Duff, I prithee, contradict thyself",,,,
830,And say it is not so.,,,,
831,"Had I but died an hour before this chance,",,,,
832,I had lived a blessèd time; for from this instant,,,,
833,There’s nothing serious in mortality.,,,,
834,All is but toys. Renown and grace is dead.,,,,
835,"The wine of life is drawn, and the mere lees",,,,
836,Is left this vault to brag of.,,,,
837,What is amiss?,,,,
838,"You are, and do not know ’t.",,,,
839,"The spring, the head, the fountain of your blood",,,,
840,Is stopped; the very source of it is stopped.,,,,
841,Your royal father’s murdered.,,,,
842,"O, by whom?",,,,
843,"Those of his chamber, as it seemed, had done ’t.",,,,
844,Their hands and faces were all badged with blood.,,,,
845,"So were their daggers, which unwiped we found",,,,
846,Upon their pillows. They stared and were distracted.,,,,
847,No man’s life was to be trusted with them.,,,,
848,"O, yet I do repent me of my fury,",,,,
849,That I did kill them.,,,,
850,Wherefore did you so?,,,,
851,"Who can be wise, amazed, temp’rate, and furious,",,,,
852,"Loyal, and neutral, in a moment? No man.",,,,
853,Th’ expedition of my violent love,,,,
854,"Outrun the pauser, reason. Here lay Duncan,",,,,
855,"His silver skin laced with his golden blood,",,,,
856,And his gashed stabs looked like a breach in nature,,,,
857,"For ruin’s wasteful entrance; there the murderers,",,,,
858,"Steeped in the colors of their trade, their daggers",,,,
859,Unmannerly breeched with gore. Who could refrain,,,,
860,"That had a heart to love, and in that heart",,,,
861,Courage to make ’s love known?,,,,
862,"Help me hence, ho!",,,,
863,Look to the lady.,,,,
864,Why do we hold our,,,,
865,"tongues,",,,,
866,That most may claim this argument for ours?,,,,
867,"What should be spoken here, where our fate,",,,,
868,"Hid in an auger hole, may rush and seize us?",,,,
869,Let’s away. Our tears are not yet brewed.,,,,
870,Nor our strong sorrow upon the foot of motion.,,,,
871,Look to the lady.,,,,
872,"And when we have our naked frailties hid,",,,,
873,"That suffer in exposure, let us meet",,,,
874,And question this most bloody piece of work,,,,
875,To know it further. Fears and scruples shake us.,,,,
876,"In the great hand of God I stand, and thence",,,,
877,Against the undivulged pretense I fight,,,,
878,Of treasonous malice.,,,,
879,And so do I.,,,,
880,So all.,,,,
881,Let’s briefly put on manly readiness,,,,
882,And meet i’ th’ hall together.,,,,
883,Well contented.,,,,
884,What will you do? Let’s not consort with them.,,,,
885,To show an unfelt sorrow is an office,,,,
886,Which the false man does easy. I’ll to England.,,,,
887,To Ireland I. Our separated fortune,,,,
888,"Shall keep us both the safer. Where we are,",,,,
889,"There’s daggers in men’s smiles. The near in blood,",,,,
890,The nearer bloody.,,,,
891,This murderous shaft that’s shot,,,,
892,"Hath not yet lighted, and our safest way",,,,
893,"Is to avoid the aim. Therefore to horse,",,,,
894,And let us not be dainty of leave-taking,,,,
895,But shift away. There’s warrant in that theft,,,,
896,Which steals itself when there’s no mercy left.,,,,
897,"Threescore and ten I can remember well,",,,,
898,Within the volume of which time I have seen,,,,
899,"Hours dreadful and things strange, but this sore",,,,
900,night,,,,
901,Hath trifled former knowings.,,,,
902,"Ha, good father,",,,,
903,"Thou seest the heavens, as troubled with man’s act,",,,,
904,"Threatens his bloody stage. By th’ clock ’tis day,",,,,
905,And yet dark night strangles the traveling lamp.,,,,
906,Is ’t night’s predominance or the day’s shame,,,,
907,That darkness does the face of earth entomb,,,,
908,When living light should kiss it?,,,,
909,"’Tis unnatural,",,,,
910,Even like the deed that’s done. On Tuesday last,,,,
911,"A falcon, tow’ring in her pride of place,",,,,
912,Was by a mousing owl hawked at and killed.,,,,
913,And Duncan’s horses (a thing most strange and,,,,
914,"certain),",,,,
915,"Beauteous and swift, the minions of their race,",,,,
916,"Turned wild in nature, broke their stalls, flung out,",,,,
917,"Contending ’gainst obedience, as they would",,,,
918,Make war with mankind.,,,,
919,’Tis said they eat each,,,,
920,other.,,,,
921,"They did so, to th’ amazement of mine eyes",,,,
922,That looked upon ’t.,,,,
923,Here comes the good,,,,
924,Macduff.—,,,,
925,"How goes the world, sir, now?",,,,
926,"Why, see you not?",,,,
927,Is ’t known who did this more than bloody deed?,,,,
928,Those that Macbeth hath slain.,,,,
929,"Alas the day,",,,,
930,What good could they pretend?,,,,
931,They were suborned.,,,,
932,"Malcolm and Donalbain, the King’s two sons,",,,,
933,"Are stol’n away and fled, which puts upon them",,,,
934,Suspicion of the deed.,,,,
935,’Gainst nature still!,,,,
936,"Thriftless ambition, that will ravin up",,,,
937,Thine own lives’ means. Then ’tis most like,,,,
938,The sovereignty will fall upon Macbeth.,,,,
939,He is already named and gone to Scone,,,,
940,To be invested.,,,,
941,Where is Duncan’s body?,,,,
942,"Carried to Colmekill,",,,,
943,The sacred storehouse of his predecessors,,,,
944,And guardian of their bones.,,,,
945,Will you to Scone?,,,,
946,"No, cousin, I’ll to Fife.",,,,
947,"Well, I will thither.",,,,
948,"Well, may you see things well done there. Adieu,",,,,
949,Lest our old robes sit easier than our new.,,,,
950,"Farewell, father.",,,,
951,God’s benison go with you and with those,,,,
952,That would make good of bad and friends of foes.,,,,
953,"Thou hast it now—king, Cawdor, Glamis, all",,,,
954,"As the Weïrd Women promised, and I fear",,,,
955,Thou played’st most foully for ’t. Yet it was said,,,,
956,"It should not stand in thy posterity,",,,,
957,But that myself should be the root and father,,,,
958,Of many kings. If there come truth from them,,,,
959,"(As upon thee, Macbeth, their speeches shine)",,,,
960,"Why, by the verities on thee made good,",,,,
961,"May they not be my oracles as well,",,,,
962,"And set me up in hope? But hush, no more.",,,,
963,Here’s our chief guest.,,,,
964,"If he had been forgotten,",,,,
965,It had been as a gap in our great feast,,,,
966,And all-thing unbecoming.,,,,
967,"Tonight we hold a solemn supper, sir,",,,,
968,And I’ll request your presence.,,,,
969,Let your Highness,,,,
970,"Command upon me, to the which my duties",,,,
971,Are with a most indissoluble tie,,,,
972,Forever knit.,,,,
973,Ride you this afternoon?,,,,
974,"Ay, my good lord.",,,,
975,We should have else desired your good advice,,,,
976,(Which still hath been both grave and prosperous),,,,
977,"In this day’s council, but we’ll take tomorrow.",,,,
978,Is ’t far you ride?,,,,
979,"As far, my lord, as will fill up the time",,,,
980,"’Twixt this and supper. Go not my horse the better,",,,,
981,I must become a borrower of the night,,,,
982,For a dark hour or twain.,,,,
983,Fail not our feast.,,,,
984,"My lord, I will not.",,,,
985,We hear our bloody cousins are bestowed,,,,
986,"In England and in Ireland, not confessing",,,,
987,"Their cruel parricide, filling their hearers",,,,
988,"With strange invention. But of that tomorrow,",,,,
989,When therewithal we shall have cause of state,,,,
990,"Craving us jointly. Hie you to horse. Adieu,",,,,
991,Till you return at night. Goes Fleance with you?,,,,
992,"Ay, my good lord. Our time does call upon ’s.",,,,
993,"I wish your horses swift and sure of foot,",,,,
994,And so I do commend you to their backs.,,,,
995,Farewell.,,,,
996,Let every man be master of his time,,,,
997,Till seven at night. To make society,,,,
998,"The sweeter welcome, we will keep ourself",,,,
999,"Till suppertime alone. While then, God be with you.",,,,
1000,"Sirrah, a word with you. Attend those men",,,,
1001,Our pleasure?,,,,
1002,"They are, my lord, without the palace gate.",,,,
1003,Bring them before us.,,,,
1004,"To be thus is nothing,",,,,
1005,But to be safely thus. Our fears in Banquo,,,,
1006,"Stick deep, and in his royalty of nature",,,,
1007,Reigns that which would be feared. ’Tis much he,,,,
1008,"dares,",,,,
1009,And to that dauntless temper of his mind,,,,
1010,He hath a wisdom that doth guide his valor,,,,
1011,To act in safety. There is none but he,,,,
1012,Whose being I do fear; and under him,,,,
1013,"My genius is rebuked, as it is said",,,,
1014,Mark Antony’s was by Caesar. He chid the sisters,,,,
1015,When first they put the name of king upon me,,,,
1016,"And bade them speak to him. Then, prophet-like,",,,,
1017,They hailed him father to a line of kings.,,,,
1018,Upon my head they placed a fruitless crown,,,,
1019,"And put a barren scepter in my grip,",,,,
1020,"Thence to be wrenched with an unlineal hand,",,,,
1021,"No son of mine succeeding. If ’t be so,",,,,
1022,For Banquo’s issue have I filed my mind;,,,,
1023,"For them the gracious Duncan have I murdered,",,,,
1024,Put rancors in the vessel of my peace,,,,
1025,"Only for them, and mine eternal jewel",,,,
1026,Given to the common enemy of man,,,,
1027,"To make them kings, the seeds of Banquo kings.",,,,
1028,"Rather than so, come fate into the list,",,,,
1029,And champion me to th’ utterance.—Who’s there?,,,,
1030,"Now go to the door, and stay there",,,,
1031,till we call.,,,,
1032,Was it not yesterday we spoke together?,,,,
1033,"It was, so please your Highness.",,,,
1034,"Well then, now",,,,
1035,Have you considered of my speeches? Know,,,,
1036,"That it was he, in the times past, which held you",,,,
1037,"So under fortune, which you thought had been",,,,
1038,Our innocent self. This I made good to you,,,,
1039,"In our last conference, passed in probation with you",,,,
1040,"How you were borne in hand, how crossed, the",,,,
1041,"instruments,",,,,
1042,"Who wrought with them, and all things else that",,,,
1043,might,,,,
1044,To half a soul and to a notion crazed,,,,
1045,Say Thus did Banquo.,,,,
1046,You made it known to us.,,,,
1047,"I did so, and went further, which is now",,,,
1048,Our point of second meeting. Do you find,,,,
1049,Your patience so predominant in your nature,,,,
1050,That you can let this go? Are you so gospeled,,,,
1051,"To pray for this good man and for his issue,",,,,
1052,Whose heavy hand hath bowed you to the grave,,,,
1053,And beggared yours forever?,,,,
1054,"We are men, my liege.",,,,
1055,"Ay, in the catalogue you go for men,",,,,
1056,"As hounds and greyhounds, mongrels, spaniels,",,,,
1057,"curs,",,,,
1058,"Shoughs, water-rugs, and demi-wolves are clept",,,,
1059,All by the name of dogs. The valued file,,,,
1060,"Distinguishes the swift, the slow, the subtle,",,,,
1061,"The housekeeper, the hunter, every one",,,,
1062,According to the gift which bounteous nature,,,,
1063,Hath in him closed; whereby he does receive,,,,
1064,"Particular addition, from the bill",,,,
1065,That writes them all alike. And so of men.,,,,
1066,"Now, if you have a station in the file,",,,,
1067,"Not i’ th’ worst rank of manhood, say ’t,",,,,
1068,And I will put that business in your bosoms,,,,
1069,"Whose execution takes your enemy off,",,,,
1070,"Grapples you to the heart and love of us,",,,,
1071,"Who wear our health but sickly in his life,",,,,
1072,Which in his death were perfect.,,,,
1073,"I am one, my liege,",,,,
1074,Whom the vile blows and buffets of the world,,,,
1075,Hath so incensed that I am reckless what,,,,
1076,I do to spite the world.,,,,
1077,And I another,,,,
1078,"So weary with disasters, tugged with fortune,",,,,
1079,"That I would set my life on any chance,",,,,
1080,To mend it or be rid on ’t.,,,,
1081,Both of you,,,,
1082,Know Banquo was your enemy.,,,,
1083,"True, my lord.",,,,
1084,"So is he mine, and in such bloody distance",,,,
1085,That every minute of his being thrusts,,,,
1086,Against my near’st of life. And though I could,,,,
1087,With barefaced power sweep him from my sight,,,,
1088,"And bid my will avouch it, yet I must not,",,,,
1089,"For certain friends that are both his and mine,",,,,
1090,"Whose loves I may not drop, but wail his fall",,,,
1091,Who I myself struck down. And thence it is,,,,
1092,"That I to your assistance do make love,",,,,
1093,Masking the business from the common eye,,,,
1094,For sundry weighty reasons.,,,,
1095,"We shall, my lord,",,,,
1096,Perform what you command us.,,,,
1097,Though our lives—,,,,
1098,Your spirits shine through you. Within this hour at,,,,
1099,most,,,,
1100,"I will advise you where to plant yourselves,",,,,
1101,"Acquaint you with the perfect spy o’ th’ time,",,,,
1102,"The moment on ’t, for ’t must be done tonight",,,,
1103,And something from the palace; always thought,,,,
1104,That I require a clearness. And with him,,,,
1105,(To leave no rubs nor botches in the work),,,,
1106,"Fleance, his son, that keeps him company,",,,,
1107,Whose absence is no less material to me,,,,
1108,"Than is his father’s, must embrace the fate",,,,
1109,Of that dark hour. Resolve yourselves apart.,,,,
1110,I’ll come to you anon.,,,,
1111,"We are resolved, my lord.",,,,
1112,I’ll call upon you straight. Abide within.,,,,
1113,"It is concluded. Banquo, thy soul’s flight,",,,,
1114,"If it find heaven, must find it out tonight.",,,,
1115,Is Banquo gone from court?,,,,
1116,"Ay, madam, but returns again tonight.",,,,
1117,Say to the King I would attend his leisure,,,,
1118,For a few words.,,,,
1119,"Madam, I will.",,,,
1120,"Naught’s had, all’s spent,",,,,
1121,Where our desire is got without content.,,,,
1122,’Tis safer to be that which we destroy,,,,
1123,Than by destruction dwell in doubtful joy.,,,,
1124,"How now, my lord, why do you keep alone,",,,,
1125,"Of sorriest fancies your companions making,",,,,
1126,Using those thoughts which should indeed have died,,,,
1127,With them they think on? Things without all remedy,,,,
1128,Should be without regard. What’s done is done.,,,,
1129,"We have scorched the snake, not killed it.",,,,
1130,She’ll close and be herself whilst our poor malice,,,,
1131,Remains in danger of her former tooth.,,,,
1132,"But let the frame of things disjoint, both the worlds",,,,
1133,"suffer,",,,,
1134,"Ere we will eat our meal in fear, and sleep",,,,
1135,In the affliction of these terrible dreams,,,,
1136,"That shake us nightly. Better be with the dead,",,,,
1137,"Whom we, to gain our peace, have sent to peace,",,,,
1138,Than on the torture of the mind to lie,,,,
1139,In restless ecstasy. Duncan is in his grave.,,,,
1140,After life’s fitful fever he sleeps well.,,,,
1141,"Treason has done his worst; nor steel nor poison,",,,,
1142,"Malice domestic, foreign levy, nothing",,,,
1143,Can touch him further.,,,,
1144,"Come on, gentle my lord,",,,,
1145,Sleek o’er your rugged looks. Be bright and jovial,,,,
1146,Among your guests tonight.,,,,
1147,"So shall I, love,",,,,
1148,And so I pray be you. Let your remembrance,,,,
1149,Apply to Banquo; present him eminence,,,,
1150,Both with eye and tongue: unsafe the while that we,,,,
1151,Must lave our honors in these flattering streams,,,,
1152,"And make our faces vizards to our hearts,",,,,
1153,Disguising what they are.,,,,
1154,You must leave this.,,,,
1155,"O, full of scorpions is my mind, dear wife!",,,,
1156,Thou know’st that Banquo and his Fleance lives.,,,,
1157,But in them nature’s copy’s not eterne.,,,,
1158,There’s comfort yet; they are assailable.,,,,
1159,Then be thou jocund. Ere the bat hath flown,,,,
1160,"His cloistered flight, ere to black Hecate’s summons",,,,
1161,The shard-born beetle with his drowsy hums,,,,
1162,"Hath rung night’s yawning peal, there shall be done",,,,
1163,A deed of dreadful note.,,,,
1164,What’s to be done?,,,,
1165,"Be innocent of the knowledge, dearest chuck,",,,,
1166,"Till thou applaud the deed.—Come, seeling night,",,,,
1167,Scarf up the tender eye of pitiful day,,,,
1168,And with thy bloody and invisible hand,,,,
1169,Cancel and tear to pieces that great bond,,,,
1170,"Which keeps me pale. Light thickens, and the crow",,,,
1171,Makes wing to th’ rooky wood.,,,,
1172,"Good things of day begin to droop and drowse,",,,,
1173,Whiles night’s black agents to their preys do,,,,
1174,rouse.—,,,,
1175,"Thou marvel’st at my words, but hold thee still.",,,,
1176,Things bad begun make strong themselves by ill.,,,,
1177,So prithee go with me.,,,,
1178,But who did bid thee join with us?,,,,
1179,Macbeth.,,,,
1180,"He needs not our mistrust, since he delivers",,,,
1181,Our offices and what we have to do,,,,
1182,To the direction just.,,,,
1183,Then stand with us.—,,,,
1184,The west yet glimmers with some streaks of day.,,,,
1185,Now spurs the lated traveler apace,,,,
1186,"To gain the timely inn, and near approaches",,,,
1187,The subject of our watch.,,,,
1188,"Hark, I hear horses.",,,,
1189,"Give us a light there, ho!",,,,
1190,Then ’tis he. The rest,,,,
1191,That are within the note of expectation,,,,
1192,Already are i’ th’ court.,,,,
1193,His horses go about.,,,,
1194,Almost a mile; but he does usually,,,,
1195,(So all men do) from hence to th’ palace gate,,,,
1196,Make it their walk.,,,,
1197,"A light, a light!",,,,
1198,’Tis he.,,,,
1199,Stand to ’t.,,,,
1200,It will be rain tonight.,,,,
1201,Let it come down!,,,,
1202,"O treachery! Fly, good Fleance, fly, fly, fly!",,,,
1203,Thou mayst revenge—O slave!,,,,
1204,Who did strike out the light?,,,,
1205,Was ’t not the way?,,,,
1206,There’s but one down. The son is,,,,
1207,fled.,,,,
1208,We have lost best half of our,,,,
1209,affair.,,,,
1210,"Well, let’s away and say how much is done.",,,,
1211,You know your own degrees; sit down. At first,,,,
1212,"And last, the hearty welcome.",,,,
1213,Thanks to your Majesty.,,,,
1214,Ourself will mingle with society,,,,
1215,And play the humble host.,,,,
1216,"Our hostess keeps her state, but in best time",,,,
1217,We will require her welcome.,,,,
1218,"Pronounce it for me, sir, to all our friends,",,,,
1219,For my heart speaks they are welcome.,,,,
1220,"See, they encounter thee with their hearts’ thanks.",,,,
1221,Both sides are even. Here I’ll sit i’ th’ midst.,,,,
1222,Be large in mirth. Anon we’ll drink a measure,,,,
1223,The table round. There’s,,,,
1224,blood upon thy face.,,,,
1225,’Tis Banquo’s then.,,,,
1226,’Tis better thee without than he within.,,,,
1227,Is he dispatched?,,,,
1228,"My lord, his throat is cut. That I did for him.",,,,
1229,"Thou art the best o’ th’ cutthroats,",,,,
1230,Yet he’s good that did the like for Fleance.,,,,
1231,"If thou didst it, thou art the nonpareil.",,,,
1232,"Most royal sir, Fleance is ’scaped.",,,,
1233,"Then comes my fit again. I had else been perfect,",,,,
1234,"Whole as the marble, founded as the rock,",,,,
1235,As broad and general as the casing air.,,,,
1236,"But now I am cabined, cribbed, confined, bound in",,,,
1237,To saucy doubts and fears.—But Banquo’s safe?,,,,
1238,"Ay, my good lord. Safe in a ditch he bides,",,,,
1239,"With twenty trenchèd gashes on his head,",,,,
1240,The least a death to nature.,,,,
1241,Thanks for that.,,,,
1242,There the grown serpent lies. The worm that’s fled,,,,
1243,"Hath nature that in time will venom breed,",,,,
1244,No teeth for th’ present. Get thee gone. Tomorrow,,,,
1245,We’ll hear ourselves again.,,,,
1246,"My royal lord,",,,,
1247,You do not give the cheer. The feast is sold,,,,
1248,"That is not often vouched, while ’tis a-making,",,,,
1249,’Tis given with welcome. To feed were best at home;,,,,
1250,"From thence, the sauce to meat is ceremony;",,,,
1251,Meeting were bare without it.,,,,
1252,Sweet remembrancer!—,,,,
1253,"Now, good digestion wait on appetite",,,,
1254,And health on both!,,,,
1255,May ’t please your Highness sit.,,,,
1256,"Here had we now our country’s honor roofed,",,,,
1257,"Were the graced person of our Banquo present,",,,,
1258,Who may I rather challenge for unkindness,,,,
1259,Than pity for mischance.,,,,
1260,"His absence, sir,",,,,
1261,Lays blame upon his promise. Please ’t your,,,,
1262,Highness,,,,
1263,To grace us with your royal company?,,,,
1264,The table’s full.,,,,
1265,"Here is a place reserved, sir.",,,,
1266,Where?,,,,
1267,"Here, my good lord. What is ’t that moves your",,,,
1268,Highness?,,,,
1269,Which of you have done this?,,,,
1270,"What, my good lord?",,,,
1271,Thou canst not say I did it. Never shake,,,,
1272,Thy gory locks at me.,,,,
1273,"Gentlemen, rise. His Highness is not well.",,,,
1274,"Sit, worthy friends. My lord is often thus",,,,
1275,"And hath been from his youth. Pray you, keep seat.",,,,
1276,The fit is momentary; upon a thought,,,,
1277,He will again be well. If much you note him,,,,
1278,You shall offend him and extend his passion.,,,,
1279,Feed and regard him not.,,,,
1280,Are you a man?,,,,
1281,"Ay, and a bold one, that dare look on that",,,,
1282,Which might appall the devil.,,,,
1283,"O, proper stuff!",,,,
1284,This is the very painting of your fear.,,,,
1285,This is the air-drawn dagger which you said,,,,
1286,"Led you to Duncan. O, these flaws and starts,",,,,
1287,"Impostors to true fear, would well become",,,,
1288,"A woman’s story at a winter’s fire,",,,,
1289,Authorized by her grandam. Shame itself!,,,,
1290,"Why do you make such faces? When all’s done,",,,,
1291,You look but on a stool.,,,,
1292,"Prithee, see there. Behold, look! Lo,",,,,
1293,how say you?,,,,
1294,"Why, what care I? If thou canst nod, speak too.—",,,,
1295,If charnel houses and our graves must send,,,,
1296,"Those that we bury back, our monuments",,,,
1297,Shall be the maws of kites.,,,,
1298,"What, quite unmanned in folly?",,,,
1299,"If I stand here, I saw him.",,,,
1300,"Fie, for shame!",,,,
1301,"Blood hath been shed ere now, i’ th’ olden time,",,,,
1302,Ere humane statute purged the gentle weal;,,,,
1303,"Ay, and since too, murders have been performed",,,,
1304,Too terrible for the ear. The time has been,,,,
1305,"That, when the brains were out, the man would die,",,,,
1306,And there an end. But now they rise again,,,,
1307,With twenty mortal murders on their crowns,,,,
1308,And push us from our stools. This is more strange,,,,
1309,Than such a murder is.,,,,
1310,"My worthy lord,",,,,
1311,Your noble friends do lack you.,,,,
1312,I do forget.—,,,,
1313,"Do not muse at me, my most worthy friends.",,,,
1314,"I have a strange infirmity, which is nothing",,,,
1315,"To those that know me. Come, love and health to",,,,
1316,all.,,,,
1317,Then I’ll sit down.—Give me some wine. Fill full.,,,,
1318,I drink to th’ general joy o’ th’ whole table,,,,
1319,"And to our dear friend Banquo, whom we miss.",,,,
1320,"Would he were here! To all, and him we thirst,",,,,
1321,And all to all.,,,,
1322,"Our duties, and the pledge.",,,,
1323,"Avaunt, and quit my sight! Let the earth hide thee.",,,,
1324,Thy bones are marrowless; thy blood is cold;,,,,
1325,Thou hast no speculation in those eyes,,,,
1326,Which thou dost glare with.,,,,
1327,"Think of this, good",,,,
1328,"peers,",,,,
1329,But as a thing of custom. ’Tis no other;,,,,
1330,Only it spoils the pleasure of the time.,,,,
1331,"What man dare, I dare.",,,,
1332,"Approach thou like the rugged Russian bear,",,,,
1333,"The armed rhinoceros, or th’ Hyrcan tiger;",,,,
1334,"Take any shape but that, and my firm nerves",,,,
1335,Shall never tremble. Or be alive again,,,,
1336,And dare me to the desert with thy sword.,,,,
1337,"If trembling I inhabit then, protest me",,,,
1338,"The baby of a girl. Hence, horrible shadow!",,,,
1339,"Unreal mock’ry, hence!",,,,
1340,"Why so, being gone,",,,,
1341,I am a man again.—Pray you sit still.,,,,
1342,"You have displaced the mirth, broke the good",,,,
1343,meeting,,,,
1344,With most admired disorder.,,,,
1345,Can such things be,,,,
1346,"And overcome us like a summer’s cloud,",,,,
1347,Without our special wonder? You make me strange,,,,
1348,Even to the disposition that I owe,,,,
1349,When now I think you can behold such sights,,,,
1350,And keep the natural ruby of your cheeks,,,,
1351,When mine is blanched with fear.,,,,
1352,"What sights, my",,,,
1353,lord?,,,,
1354,"I pray you, speak not. He grows worse and worse.",,,,
1355,"Question enrages him. At once, good night.",,,,
